query,format,worker_nodes,execution_time
query1,avro,1,1.2350407361984252
query1,avro,2,0.7162516117095947
query1,avro,3,0.7245275259017945
query1,avro,4,0.7267785549163819
query1,parquet,1,1.1967104434967042
query1,parquet,2,1.18894202709198
query1,parquet,3,1.2529708862304687
query1,parquet,4,1.2739874124526978
query2,avro,1,0.3663828134536743
query2,avro,2,0.2828380346298217
query2,avro,3,0.3195591688156128
query2,avro,4,0.320097541809082
query2,parquet,1,0.3919765949249267
query2,parquet,2,0.3889566659927368
query2,parquet,3,0.5782862901687622
query2,parquet,4,0.6642049789428711
query3,avro,1,5.423863625526428
query3,avro,2,3.2483124017715452
query3,avro,3,3.239260283383456
query3,avro,4,3.255870236290826
query3,parquet,1,4.561776494979858
query3,parquet,2,4.560168194770813
query3,parquet,3,4.653722596168518
query3,parquet,4,4.459670543670654
sql-query1,avro,1,0.3720371961593628
sql-query1,avro,2,0.31559493541717526
sql-query1,avro,3,0.3580102682113647
sql-query1,avro,4,0.35775954723358155
sql-query1,parquet,1,0.3867886543273925
sql-query1,parquet,2,0.4076242446899414
sql-query1,parquet,3,0.4617694139480591
sql-query1,parquet,4,0.476760721206665
sql-query2,avro,1,0.8416973352432251
sql-query2,avro,2,0.7948578596115112
sql-query2,avro,3,0.883339296687733
sql-query2,avro,4,0.7882617579566108
sql-query2,parquet,1,0.8620139122009277
sql-query2,parquet,2,0.8787036418914795
sql-query2,parquet,3,0.9168416738510132
sql-query2,parquet,4,0.8890115737915039
sql-query3,avro,1,1.8792396306991577
sql-query3,avro,2,1.4043036460876466
sql-query3,avro,3,1.4652198076248169
sql-query3,avro,4,1.5254387855529785
sql-query3,parquet,1,1.7288467168807984
sql-query3,parquet,2,1.7198501586914063
sql-query3,parquet,3,1.8567255973815917
sql-query3,parquet,4,1.742446517944336
