query,format,worker_nodes,execution_time
query3,avro,1,2.6141042709350586
query3,avro,1,2.5665109157562256
query3,avro,1,2.676168918609619
query3,avro,1,2.7772555351257324
query1,avro,1,0.738178014755249
sql-query1,avro,1,0.49407362937927246
query1,avro,1,0.7714073657989502
sql-query1,avro,1,0.5091023445129395
query1,avro,1,0.7658071517944336
sql-query1,avro,1,0.32131099700927734
query1,avro,1,0.7553541660308838
sql-query1,avro,1,0.3247363567352295
query1,avro,1,0.7356736660003662
sql-query1,avro,1,0.31464576721191406
query2,avro,1,0.4798424243927002
sql-query2,avro,1,1.060248851776123
query2,avro,1,0.4771707057952881
sql-query2,avro,1,0.9825387001037598
query2,avro,1,0.4921998977661133
sql-query2,avro,1,0.9997758865356445
query3,avro,1,2.6863536834716797
query3,avro,1,2.659179925918579
query3,avro,1,2.7559611797332764
query3,avro,1,2.752558708190918
query3,avro,1,2.73796010017395
sql-query3,avro,1,2.629929542541504
query3,avro,1,2.7694382667541504
sql-query3,avro,1,2.3981306552886963
query3,avro,1,2.687544584274292
sql-query3,avro,1,2.4675822257995605
query3,avro,1,2.7373199462890625
sql-query3,avro,1,2.8748741149902344
query3,avro,1,2.726858377456665
sql-query3,avro,1,1.3975889682769775
query3,avro,1,2.730333089828491
sql-query3,avro,1,1.9971704483032227
query3,avro,1,2.765197992324829
sql-query3,avro,1,1.8834595680236816
query3,avro,1,2.686051607131958
sql-query3,avro,1,1.352137565612793
query3,avro,1,2.6630630493164062
sql-query3,avro,1,1.4139819145202637
query3,avro,1,2.7381179332733154
sql-query3,avro,1,1.3172845840454102
query3,avro,1,2.647763729095459
sql-query3,avro,1,1.357780933380127
query3,avro,1,2.680191993713379
sql-query3,avro,1,1.3788683414459229
query3,avro,1,2.7030630111694336
sql-query3,avro,1,1.4081337451934814
query3,avro,1,2.7599833011627197
sql-query3,avro,1,1.454468011856079
query3,avro,1,2.693976879119873
sql-query3,avro,1,1.4798259735107422
query3,avro,1,2.6954288482666016
sql-query3,avro,1,1.5152854919433594
query3,avro,1,2.930074691772461
sql-query3,avro,1,2.1415228843688965
query3,avro,1,3.0910775661468506
sql-query3,avro,1,1.8810629844665527
query3,avro,1,2.386518716812134
sql-query3,avro,1,1.9550673961639404
query3,avro,1,2.6348257064819336
sql-query3,avro,1,1.4676778316497803
query3,avro,1,2.9203882217407227
sql-query3,avro,1,1.388174057006836
query3,avro,1,2.748605966567993
sql-query3,avro,1,1.4506158828735352
query3,avro,1,2.7329282760620117
sql-query3,avro,1,1.3673686981201172
query3,avro,1,2.307924747467041
sql-query3,avro,1,1.4349102973937988
query3,avro,1,2.2455356121063232
sql-query3,avro,1,1.350236415863037
query3,avro,1,2.4573543071746826
sql-query3,avro,1,1.5363552570343018
query3,avro,1,2.24031400680542
sql-query3,avro,1,1.436713695526123
query3,avro,1,2.3837740421295166
sql-query3,avro,1,1.3832592964172363
