vault_id,failures_count,list_of_models
1093,9,ST10000NM0086
1032,7,ST8000DM002
1053,7,ST8000NM0055
1055,6,ST8000NM0055
1033,5,ST8000DM002
1040,5,ST8000NM0055
1044,5,ST8000NM0055
1090,5,ST8000NM0055
1010,4,ST4000DM000
1014,4,ST4000DM000
1022,4,ST4000DM000
1039,4,ST8000NM0055
1041,4,ST8000NM0055
1054,4,ST8000NM0055
1131,4,ST12000NM0008
1132,4,ST12000NM0008
1035,3,ST8000DM002
1037,3,ST8000DM002
1042,3,ST8000NM0055
1064,3,ST12000NM0008
1091,3,ST8000NM0055
1092,3,"ST10000NM0086,ST8000NM0055"
1128,3,ST12000NM0007
1142,3,ST12000NM001G
1161,3,ST16000NM001G
1011,2,ST4000DM000
1016,2,ST4000DM000
1102,2,"ST12000NM0008,ST12000NM001G"
1114,2,ST12000NM0008
1135,2,ST12000NM0008
